X,Y,month,day,temp (F),RH (%),wind (mph),area
9,5,jun,wed,82.4,34,2.796768179,8.16
7,4,mar,sun,52.7,60,2.486016159,8.24
6,5,mar,fri,53.06,33,2.486016159,8.31
6,6,aug,sat,87.44,30,3.045369795,8.59
2,5,aug,thu,75.56,28,1.678060907,8.68
2,2,aug,tue,76.28,22,2.796768179,8.71
2,4,aug,mon,82.94,32,2.486016159,8.85
4,6,dec,sun,40.64,57,5.282784338,8.98
8,6,aug,tue,68.18,58,2.796768179,9.27
4,6,dec,fri,35.96,59,3.045369795,9.27
4,5,sep,wed,75.74,25,2.486016159,9.41
1,4,aug,fri,53.24,88,3.045369795,9.71
4,4,dec,mon,40.28,21,5.282784338,9.77
7,4,feb,mon,45.5,71,3.915475451,9.96
2,5,sep,fri,61.16,58,2.237414543,9.96
2,2,aug,tue,76.28,22,2.796768179,10.01
2,5,aug,fri,74.3,36,3.356121815,10.02
4,3,jun,thu,79.52,35,1.678060907,10.08
2,4,aug,sun,59.72,66,2.486016159,10.13
6,3,aug,thu,66.02,41,1.926662523,10.34
3,4,dec,mon,40.28,21,5.282784338,10.73
7,5,aug,tue,81.14,63,3.045369795,10.82
6,5,apr,thu,42.44,54,3.604723431,10.93
4,5,sep,thu,70.7,15,0.559353636,11.06
7,4,sep,sun,56.84,77,4.723430702,11.06
7,4,aug,sun,70.16,70,4.164077067,11.16
8,6,dec,wed,41.18,61,4.972032318,11.19
4,4,sep,sat,62.78,41,1.367308888,11.22
3,4,sep,tue,57.02,59,3.915475451,11.24
2,4,sep,mon,72.68,38,2.237414543,11.32
1,5,sep,tue,70.88,33,1.367308888,11.53
6,5,mar,sun,54.32,54,2.237414543,12.1
8,4,aug,sat,70.34,44,2.796768179,12.18
6,5,sep,sat,62.24,47,3.045369795,12.64
7,4,feb,sun,47.84,68,1.367308888,13.05
4,4,sep,fri,69.44,35,3.045369795,13.06
8,6,oct,wed,68.36,37,1.678060907,13.7
5,6,mar,sat,59.18,64,2.486016159,13.99
6,3,sep,sun,76.64,28,1.118707272,14.29
4,5,sep,thu,71.78,34,1.118707272,14.57
3,4,aug,tue,90.14,27,1.367308888,14.68
2,4,aug,sun,69.62,66,3.045369795,15.34
2,2,aug,sat,73.22,31,4.474829086,15.45
7,4,sep,sat,70.7,28,2.796768179,15.64
2,4,aug,sun,69.62,50,1.367308888,16
8,6,aug,thu,61.16,63,1.678060907,16.33
5,4,aug,tue,79.52,34,2.237414543,16.4
7,5,sep,tue,69.26,37,1.367308888,17.2
4,4,dec,mon,40.28,21,5.282784338,17.85
6,5,sep,fri,50.54,78,2.486016159,18.3
6,5,sep,fri,67.28,33,3.915475451,19.23
6,5,sep,tue,67.28,45,1.926662523,20.03
4,4,dec,mon,40.28,21,5.282784338,22.03
8,3,sep,thu,73.76,26,3.045369795,23.41
4,4,oct,sat,65.12,25,1.926662523,24.23
5,4,feb,fri,45.5,46,4.972032318,24.24
3,4,sep,sun,69.08,55,3.356121815,24.59
6,5,dec,tue,41.18,24,5.282784338,24.77
7,4,aug,sat,41.18,96,3.604723431,26
7,4,sep,fri,68.18,47,3.045369795,26.13
2,5,aug,sun,91.58,25,2.486016159,26.43
7,3,mar,mon,51.8,46,3.604723431,27.35
1,4,sep,mon,70.34,35,1.367308888,28.19
4,4,mar,sat,62.6,27,3.045369795,28.66
4,4,mar,sat,62.6,27,3.045369795,28.66
6,4,aug,fri,73.94,34,1.926662523,28.74
4,4,sep,sun,62.42,60,0.807955252,29.48
8,6,sep,fri,69.26,46,1.678060907,30.18
1,3,sep,mon,54.32,73,3.915475451,30.32
4,5,sep,wed,66.92,19,0.807955252,31.72
6,5,mar,mon,59.36,27,1.926662523,31.86
8,6,aug,sun,61.16,59,1.926662523,32.07
6,3,sep,thu,66.02,34,4.474829086,34.36
3,4,sep,fri,65.48,49,2.237414543,35.88
4,3,mar,mon,51.8,46,3.604723431,36.85
2,2,jul,fri,56.12,79,2.237414543,37.02
7,4,sep,wed,59.72,57,2.796768179,37.71
4,3,may,fri,64.4,40,2.486016159,38.48
6,5,sep,sat,59.72,57,3.045369795,39.35
6,5,aug,tue,91.94,26,1.678060907,40.54
9,6,aug,thu,68.9,58,1.678060907,42.87
1,3,aug,fri,81.5,29,2.796768179,43.32
4,4,aug,tue,66.92,71,4.723430702,46.7
4,4,sep,sun,73.22,39,3.045369795,48.55
7,5,oct,mon,60.98,44,2.486016159,49.37
4,3,aug,wed,84.02,29,3.045369795,49.59
4,5,feb,sun,50.18,62,1.118707272,51.78
2,4,aug,sun,71.42,71,3.604723431,54.29
6,3,sep,mon,73.4,34,1.367308888,56.04
8,6,aug,sat,68.18,34,2.796768179,58.3
6,3,apr,sun,56.66,33,5.842137974,61.13
4,6,sep,sun,82.94,26,1.926662523,64.1
9,4,jun,sat,76.1,50,1.926662523,70.32
1,3,sep,sun,71.42,43,2.486016159,70.76
8,6,aug,sat,61.52,43,2.486016159,71.3
1,4,aug,wed,67.82,50,2.486016159,82.75
7,6,jul,tue,80.42,28,3.356121815,86.45
4,4,sep,wed,79.52,21,2.796768179,88.49
1,5,sep,sun,82.04,27,1.926662523,95.18
6,4,sep,tue,65.66,43,1.678060907,103.39
9,4,sep,tue,75.74,36,1.926662523,105.66
